[ 2025-03-11 11:58:00,941 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-11 11:58:20,231 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-11 11:58:20,232 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-11 11:58:20,233 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-11 11:58:20,401 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-11 11:58:20,402 ] 18 root - INFO - Data Initiation Completed
[ 2025-03-11 11:58:20,439 ] 22 root - INFO - Initiate the data Validation
[ 2025-03-11 11:58:20,547 ] 32 root - INFO - Required number of columns:2
[ 2025-03-11 11:58:20,547 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-11 11:58:20,548 ] 32 root - INFO - Required number of columns:2
[ 2025-03-11 11:58:20,548 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-11 11:58:21,058 ] 24 root - INFO - data Validation Completed
